sample,column,depth (m),Y89(LR),Zr90(LR),Cd111(LR),In115(LR),La139(LR),Pb208(LR),Sc45(MR),Ti47(MR),V51(MR),Mn55(MR),Fe56(MR),Co59(MR),Ni60(MR),Cu63(MR),Zn66(MR),Ga69(MR)
St  2 18,2,200,151.4557006,83.60786378,0.081241024,81.2410236,21.36269358,39.15578741,11.48381575,68.09691802,28.58209213,0.652601263,0.504798697,39.33885566,2.614783275,0.563800257,0.465408345,38.80517432
St  2 19,3,150,148.0169512,60.27030434,0.060598316,60.59831613,20.0910666,38.92813996,10.03328054,62.54706887,27.71396942,0.735534682,0.456255357,36.31951241,2.444871203,0.534848837,0.409824995,35.21493546
St  2 20,4,100,144.6669282,68.74667333,0.024483079,24.4830789,18.49137798,36.20459167,10.69229385,40.12478024,27.18795059,0.936064383,0.090388144,30.26380957,2.34263086,0.489203883,0.184923642,38.54656308
St  2 21,5,75,137.2774344,71.50961488,0.0076664,7.666400094,16.61419649,34.42049919,8.403590892,70.77235297,28.20757161,0.995491832,0.06100731,18.4163221,1.914027798,0.495909161,0.173893598,38.77713445
St  2 22,6,50,140.7723981,60.63221842,0.004148741,4.148741217,17.21878837,32.45231497,6.952770238,39.48199212,29.05510275,1.022509085,0.049405511,18.02720124,1.965582988,0.51759927,0.052514361,36.1515639
St  2 23,7,24,138.9488714,62.86107274,0.004254068,4.254067899,17.27274272,32.31827573,7.466999799,32.15224983,29.31634775,1.037419914,0.310074272,20.87735339,2.029368395,0.554699117,0.258910359,35.89575459
St  2 24,8,9,145.8602285,59.90454082,0.008582546,8.58254574,20.22842897,30.17528447,7.495517528,40.79081884,27.55431863,1.030648088,0.26250215,26.47759604,1.97970634,0.760456202,0.68365589,36.80064546
St  3 1,1,3875,158.6773382,251.9250949,0.373685075,373.6850746,31.64476467,23.01924747,24.65169994,141.6665055,28.80843518,0.125593865,0.590750434,13.28840887,5.412926482,1.985650047,5.132275673,31.06123529
St  3 2,2,3824,157.9159422,226.2831233,0.372533316,372.5333163,32.33319632,20.18066156,26.0822504,135.3087635,27.20877753,0.138399051,0.634778568,13.03631608,5.59065708,1.996064016,3.246119705,36.7774036
St  3 3,3,3501,155.6534426,217.8548241,0.357375821,357.3758205,30.35326615,22.50757981,25.3049432,143.7568999,26.99585452,0.138616708,0.59130271,15.83522616,5.328280089,1.78752446,2.845846054,34.39427019
